date	Валера, настало твое время	виноват Волан-де-Морт	давай до свидания	лифтолук	пакон	теребонькай	узбагойся	чумачечая	э рон дон дон	Harlem Shake 	Ice Bucket Challenge	Red Quest
2010-01	0	0	0	0	0	0	0	0	0	2	0	0
2010-02	0	0	0	0	0	0	0	0	0	3	0	0
2010-03	0	0	0	0	0	0	0	0	0	3	0	0
2010-04	0	0	0	0	0	0	0	0	0	7	0	0
2010-05	0	0	0	0	0	0	0	0	0	12	0	0
2010-06	0	0	0	0	4	0	0	0	0	11	0	0
2010-07	0	0	0	0	778	0	0	0	0	14	0	0
2010-08	0	0	0	0	141	0	0	0	0	17	0	0
2010-09	0	0	0	0	45	0	0	0	0	9	0	13
2010-10	0	0	0	0	29	0	0	0	0	10	0	96
2010-11	0	0	0	0	18	0	0	0	0	8	0	367
2010-12	0	0	0	0	16	0	0	0	0	9	0	5
2011-01	0	0	0	0	17	0	0	0	0	13	0	4
2011-02	0	0	0	0	15	0	0	0	0	10	0	2
2011-03	0	0	0	0	17	0	0	78	0	12	0	11
2011-04	0	0	0	0	19	0	0	450	0	14	0	24
2011-05	0	0	0	0	16	0	0	356	0	12	0	15
2011-06	0	0	0	0	14	0	0	169	0	11	0	12
2011-07	0	0	0	0	18	0	0	133	0	17	0	17
2011-08	0	0	0	0	16	0	0	20	0	19	0	0
2011-09	0	0	0	0	11	0	0	22	0	9	0	0
2011-10	0	0	0	0	6	0	0	6	0	6	0	0
2011-11	0	0	0	0	6	0	0	2	0	3	0	0
2011-12	0	0	0	0	7	0	0	4	0	4	0	0
2012-01	377	0	0	0	5	0	0	8	0	2	0	0
2012-02	167	0	0	0	0	0	0	2	0	0	0	0
2012-03	41	0	0	0	0	0	0	0	0	0	0	0
2012-04	8	0	0	0	0	0	0	2	0	2	0	0
2012-05	2	0	60	0	2	0	0	0	0	2	0	0
2012-06	0	0	1618	0	2	0	0	0	0	2	0	0
2012-07	0	0	69	0	4	0	0	1	0	2	0	0
2012-08	0	0	26	0	2	0	0	0	399	2	0	0
2012-09	0	0	8	0	3	0	0	0	683	2	0	0
2012-10	0	0	3	0	0	0	0	0	259	0	0	0
2012-11	0	925	0	0	0	0	0	0	108	1	0	0
2012-12	0	9	2	0	1	0	0	0	64	0	0	0
2013-01	0	1	2	1	2	0	0	0	21	2	0	0
2013-02	0	0	0	2	0	0	0	0	19	2782	0	0
2013-03	0	0	0	5	3	0	0	0	12	2052	0	0
2013-04	0	0	0	4	2	0	0	0	0	271	0	0
2013-05	0	0	0	4	1	0	0	0	2	115	0	0
2013-06	0	0	0	640	0	0	0	0	1	50	0	0
2013-07	0	0	0	38	0	0	0	0	0	25	0	0
2013-08	0	0	0	18	0	0	59	0	0	27	0	0
2013-09	0	0	1	8	2	0	2816	0	0	19	0	0
2013-10	0	0	0	4	0	0	698	0	0	11	0	0
2013-11	0	0	0	6	0	0	198	0	1	7	0	0
2013-12	0	0	0	3	0	0	64	0	9	3	0	0
2014-01	0	0	0	6	0	0	41	0	6	11	0	0
2014-02	0	0	0	5	0	0	21	0	11	4	0	0
2014-03	0	0	0	4	0	6	8	0	12	5	0	0
2014-04	0	0	0	0	0	2603	4	0	5	4	0	0
2014-05	0	0	0	5	0	781	3	0	4	12	0	0
2014-06	0	0	0	31	0	373	3	0	5	9	0	0
2014-07	0	0	0	5	0	202	4	0	0	16	0	0
2014-08	0	0	0	13	0	114	5	0	5	50	691	0
2014-09	0	0	0	17	0	52	2	0	3	32	303	0
2014-10	0	0	0	36	0	49	2	0	2	16	15	0
2014-11	0	0	0	16	0	37	5	0	3	34	10	0
2014-12	0	0	0	12	0	25	3	0	3	21	7	0
