date	бензопирен в конфетах	биткоин	бозон Хиггса	дары волхвов	дневные ходовые огни	око Саурона	сексот	смирна	смог	торфяники	шариатский суд	Sopa Pipa
2010-01	0	0	6	0	0	0	3	24	39	0	0	0
2010-02	0	0	9	0	2	0	10	11	33	0	0	0
2010-03	0	0	12	0	0	0	3	8	39	0	0	0
2010-04	0	0	12	0	0	0	4	5	57	0	0	0
2010-05	0	0	9	0	44	0	3	5	49	0	0	0
2010-06	0	0	17	0	26	0	3	6	33	0	0	0
2010-07	0	0	11	0	13	0	5	9	142	200	0	0
2010-08	0	0	7	0	10	0	5	6	803	670	0	0
2010-09	0	0	4	0	16	0	4	5	36	27	0	0
2010-10	0	0	4	0	33	0	3	9	44	11	1	0
2010-11	0	0	8	0	442	0	8	9	49	5	0	0
2010-12	0	0	4	0	115	0	0	19	42	4	9	0
2011-01	0	0	9	0	82	0	5	35	32	6	2	0
2011-02	0	0	8	0	70	0	5	9	26	5	3	0
2011-03	0	0	5	0	56	0	4	9	31	4	0	0
2011-04	0	0	13	0	35	0	4	9	41	6	4	0
2011-05	0	0	13	0	24	0	3	5	45	6	6	0
2011-06	0	0	12	0	24	0	4	3	14	4	0	0
2011-07	0	1	10	0	36	0	6	8	19	7	4	0
2011-08	0	2	9	0	24	0	7	6	11	2	6	0
2011-09	0	1	7	0	11	0	5	4	20	0	5	0
2011-10	0	0	4	0	9	0	5	4	42	0	0	0
2011-11	0	0	2	0	9	0	3	8	34	0	0	0
2011-12	0	0	112	0	7	0	11	18	30	0	0	0
2012-01	0	0	31	0	9	0	12	27	18	0	0	264
2012-02	0	0	18	0	15	0	9	6	16	0	0	47
2012-03	0	0	11	0	15	0	123	6	12	0	0	0
2012-04	0	0	11	0	15	0	330	3	49	0	573	0
2012-05	0	0	10	2	15	0	50	3	28	0	19	0
2012-06	0	0	13	0	18	0	439	0	9	0	3	0
2012-07	0	0	2180	0	24	0	263	2	24	0	2	0
2012-08	0	0	131	0	18	0	474	6	8	0	10	0
2012-09	0	1	37	0	12	0	157	4	7	0	2	0
2012-10	0	0	25	0	12	0	288	19	16	0	4	0
2012-11	0	0	13	0	12	0	56	7	23	0	0	0
2012-12	0	0	32	0	10	0	240	14	18	0	0	0
2013-01	0	1	32	0	10	0	59	27	12	0	1	0
2013-02	0	6	33	0	13	0	238	5	11	0	0	0
2013-03	0	11	56	0	10	0	500	7	11	0	0	0
2013-04	0	62	19	0	11	0	171	6	23	0	0	0
2013-05	0	20	19	2	14	0	43	5	28	2	0	0
2013-06	0	13	19	0	15	1	17	3	8	1	0	0
2013-07	257	31	28	0	16	0	4	2	8	0	0	0
2013-08	6	39	42	0	15	0	5	3	19	0	0	0
2013-09	0	20	31	0	12	0	5	3	16	0	0	0
2013-10	0	25	164	0	19	0	5	4	19	0	0	0
2013-11	0	207	36	0	15	0	4	4	30	0	0	0
2013-12	0	490	43	7	8	0	5	18	19	0	0	0
2014-01	0	887	46	10035	10	3	5	839	17	1	1	0
2014-02	0	632	24	331	10	5	3	38	15	2	0	0
2014-03	0	337	31	12	13	0	5	7	19	2	0	0
2014-04	0	102	13	12	15	0	4	4	30	2	0	0
2014-05	0	141	23	9	21	0	3	6	33	3	0	0
2014-06	0	142	17	3	27	0	3	6	12	0	0	0
2014-07	0	176	30	3	38	0	4	7	3	6	0	0
2014-08	0	146	12	0	33	0	4	6	13	8	0	0
2014-09	0	147	12	0	17	0	3	4	9	0	0	0
2014-10	0	129	11	0	17	0	5	3	17	2	0	0
2014-11	0	114	15	2	25	0	4	5	22	0	0	0
2014-12	0	156	9	0	18	437	0	16	13	0	0	0
