date	любовь	счастье	селфи	майдан
2010-01	7968	1229	0	37
2010-02	8454	1473	0	173
2010-03	7075	1548	0	9
2010-04	6390	1271	0	9
2010-05	5458	1153	0	9
2010-06	5038	902	0	8
2010-07	7391	1052	0	11
2010-08	7679	1138	0	10
2010-09	5317	942	0	20
2010-10	4670	965	0	17
2010-11	4695	1006	0	16
2010-12	4161	795	0	7
2011-01	4893	723	0	8
2011-02	6461	707	0	6
2011-03	4758	704	0	6
2011-04	3804	518	0	8
2011-05	2993	437	0	9
2011-06	3572	328	0	7
2011-07	4683	408	0	12
2011-08	4368	668	0	17
2011-09	3141	668	0	27
2011-10	3134	661	0	32
2011-11	3043	678	0	12
2011-12	2960	668	0	10
2012-01	3563	772	0	10
2012-02	4067	1030	0	10
2012-03	3321	944	0	37
2012-04	2746	708	0	10
2012-05	2587	622	0	13
2012-06	2608	523	0	14
2012-07	3034	539	0	15
2012-08	3198	514	0	18
2012-09	3529	460	0	19
2012-10	2596	474	0	16
2012-11	2324	1069	0	9
2012-12	2121	490	0	8
2013-01	2684	539	0	11
2013-02	3545	744	0	7
2013-03	2419	552	0	10
2013-04	1761	351	0	9
2013-05	1658	319	0	9
2013-06	1503	243	0	10
2013-07	1659	273	0	13
2013-08	1644	274	0	10
2013-09	1360	278	0	21
2013-10	1507	282	0	11
2013-11	1477	299	16	135
2013-12	1252	291	197	2137
2014-01	1370	317	67	2509
2014-02	1459	390	103	5884
2014-03	1167	346	563	5487
2014-04	1144	299	1036	992
2014-05	1090	577	3889	941
2014-06	1021	332	3348	532
2014-07	1125	287	3728	402
2014-08	1101	269	3569	525
2014-09	981	210	2392	117
2014-10	1030	232	3150	95
2014-11	1000	275	1698	116
2014-12	849	226	1388	80
