date	збс	имхо	лалка	ололо	тп	френдзона	хардкор	me gusta	swag	wtf
2010-01	0	2116	0	617	21	0	110	0	0	257
2010-02	0	2170	0	643	24	0	89	0	0	279
2010-03	0	1403	0	695	33	0	95	0	0	278
2010-04	0	2044	0	732	37	0	80	0	0	261
2010-05	0	1116	0	749	41	0	83	0	0	298
2010-06	0	1439	0	907	64	0	103	0	0	315
2010-07	0	3629	0	1065	88	0	144	0	0	439
2010-08	0	4103	0	971	108	0	76	0	0	442
2010-09	0	2549	0	571	69	0	26	0	0	161
2010-10	0	2423	0	505	70	0	37	0	0	171
2010-11	0	2383	0	472	67	0	66	0	0	202
2010-12	0	2032	0	480	69	0	52	0	0	316
2011-01	0	2171	0	525	108	0	81	0	0	389
2011-02	0	2657	0	521	106	0	103	0	2	521
2011-03	0	2345	0	450	102	0	91	0	0	653
2011-04	0	1894	0	374	85	0	101	0	2	425
2011-05	0	1479	0	256	93	0	80	1	4	420
2011-06	0	1711	0	300	120	0	100	0	6	618
2011-07	0	2267	0	335	205	0	180	11	15	829
2011-08	0	1801	0	244	169	0	217	70	34	739
2011-09	0	1026	0	148	98	0	115	81	37	307
2011-10	0	816	0	111	122	0	105	207	47	284
2011-11	0	901	0	93	136	0	106	227	81	296
2011-12	0	1227	0	81	119	0	84	281	131	335
2012-01	0	1567	0	119	311	1	124	467	223	356
2012-02	0	1359	0	101	382	4	140	333	220	186
2012-03	0	1269	0	66	619	9	169	322	295	116
2012-04	0	1205	0	74	563	13	278	255	289	124
2012-05	40	1096	0	45	555	9	505	181	324	161
2012-06	166	1296	0	36	597	20	1283	200	475	117
2012-07	175	2237	0	38	676	8	1291	111	921	133
2012-08	385	2437	0	40	1116	31	1267	205	1284	104
2012-09	529	1596	0	19	703	18	538	87	872	67
2012-10	203	1433	0	15	612	23	553	49	860	54
2012-11	150	1312	0	15	681	27	567	32	787	48
2012-12	148	1245	2	15	661	36	626	19	810	49
2013-01	130	1631	25	15	1628	188	646	18	748	63
2013-02	124	1618	140	15	1281	178	466	13	758	41
2013-03	100	1545	237	13	1550	444	489	5	873	50
2013-04	67	1114	230	13	1501	334	422	4	719	42
2013-05	67	1041	281	12	1546	680	416	7	808	93
2013-06	73	1193	308	11	1251	496	364	10	838	75
2013-07	63	1603	355	11	1573	609	430	13	878	76
2013-08	70	2050	330	10	1353	321	407	9	922	42
2013-09	39	986	331	6	852	153	280	4	564	25
2013-10	34	881	227	5	755	103	214	0	398	22
2013-11	36	802	213	4	689	103	237	2	360	28
2013-12	41	615	183	5	679	202	227	0	340	34
2014-01	43	685	209	5	628	353	223	1	357	32
2014-02	34	569	151	4	555	196	207	0	280	34
2014-03	35	553	139	4	534	189	311	2	275	44
2014-04	26	508	111	3	393	160	199	0	276	52
2014-05	36	537	114	2	389	157	196	2	363	50
2014-06	31	640	101	2	378	134	227	2	336	29
2014-07	27	998	106	2	362	149	230	0	352	29
2014-08	30	1106	110	2	342	163	280	0	394	29
2014-09	16	629	83	1	202	72	88	0	198	16
2014-10	16	547	82	0	192	73	92	0	157	18
2014-11	19	577	77	1	177	107	153	1	147	19
2014-12	18	423	68	0	162	71	143	0	118	16
