date	бобслей	дуатлон	кёрлинг	локаут в НХЛ	могул	мундиаль	офсайд	Паралимпиада	плей-офф	скелетон	скиатлон	Универсиада	фристайл	шорт-трек
2010-01	10	103	16	0	2	12	6	0	4	27	0	2	22	8
2010-02	68	726	290	0	45	7	10	0	28	530	0	3	67	184
2010-03	11	45	39	0	6	11	23	280	13	55	0	3	23	16
2010-04	4	6	19	0	5	7	20	10	7	7	0	2	13	3
2010-05	3	8	12	0	5	42	14	1	11	4	0	5	23	0
2010-06	2	5	15	0	6	552	608	0	71	3	0	3	13	2
2010-07	3	2	17	0	10	888	355	0	16	2	0	3	18	0
2010-08	7	3	25	0	8	56	51	0	31	3	0	3	18	0
2010-09	6	2	22	0	5	12	21	0	4	3	0	1	11	12
2010-10	9	1	25	0	7	23	25	1	3	9	0	2	11	3
2010-11	8	0	29	0	7	10	22	0	7	0	0	2	11	0
2010-12	12	3	59	0	8	159	14	0	4	5	0	4	9	5
2011-01	16	31	73	0	18	43	14	0	3	5	0	12	19	5
2011-02	24	96	77	0	13	33	17	2	12	8	0	72	23	10
2011-03	13	33	55	0	13	13	27	0	13	7	0	0	14	3
2011-04	14	4	39	0	11	10	21	0	5	16	0	2	14	4
2011-05	12	5	32	1	6	8	19	0	8	5	0	3	15	3
2011-06	7	3	26	0	7	10	23	0	0	3	0	0	14	0
2011-07	13	5	30	1	12	18	20	0	0	6	0	5	17	1
2011-08	12	4	36	0	3	17	39	0	8	5	0	118	19	0
2011-09	10	2	21	0	2	9	35	0	4	10	0	6	10	1
2011-10	9	1	34	0	3	12	34	0	2	21	0	3	12	2
2011-11	9	3	30	0	0	7	21	0	4	5	0	4	16	2
2011-12	16	0	52	0	4	4	12	0	13	7	0	2	16	2
2012-01	20	5	34	0	7	2	15	0	4	10	15	7	23	4
2012-02	24	15	24	0	7	3	19	0	3	16	117	7	20	5
2012-03	17	4	18	0	0	5	83	0	9	5	29	4	22	4
2012-04	5	6	22	3	4	5	41	0	3	8	0	8	15	4
2012-05	4	0	10	63	1	11	40	0	6	3	0	3	11	0
2012-06	3	0	10	26	2	17	450	0	28	10	0	5	13	0
2012-07	2	2	9	17	1	5	54	0	4	4	0	12	13	1
2012-08	4	2	13	422	1	7	38	92	20	6	0	47	17	5
2012-09	6	1	8	1253	0	24	21	319	2	3	0	21	13	3
2012-10	7	0	11	97	2	43	73	3	0	4	0	9	13	2
2012-11	5	0	13	17	19	5	47	0	6	3	0	8	13	0
2012-12	6	0	17	43	12	4	30	0	3	6	2	9	15	2
2013-01	10	6	14	47	39	5	35	0	2	14	10	12	27	7
2013-02	12	14	16	2	30	5	37	0	6	28	89	13	16	13
2013-03	9	4	18	0	10	10	65	0	5	11	3	17	18	8
2013-04	6	0	15	0	74	7	50	0	5	4	0	18	14	7
2013-05	4	1	13	10	8	11	44	0	14	3	0	31	12	8
2013-06	2	0	16	1	8	15	50	0	1	1	0	61	10	6
2013-07	4	0	14	4	5	17	55	0	3	2	0	1227	10	6
2013-08	6	0	24	0	4	29	47	0	19	4	0	6	12	5
2013-09	11	2	20	0	3	14	23	1	1	8	0	7	15	12
2013-10	18	0	48	0	12	41	23	0	0	16	2	4	21	34
2013-11	34	0	51	0	8	25	21	2	4	31	2	10	24	48
2013-12	28	5	65	0	8	28	23	0	4	31	75	10	24	29
2014-01	62	5	171	2	36	18	31	2	12	100	18	7	68	169
2014-02	267	39	909	5	1160	32	26	50	178	810	810	11	350	1389
2014-03	43	3	31	0	15	16	19	141	43	26	10	9	31	16
2014-04	20	0	8	0	3	15	22	0	6	10	20	0	13	5
2014-05	12	2	3	2	3	35	30	0	63	4	0	2	9	1
2014-06	7	2	3	0	0	1387	297	0	288	0	0	0	14	0
2014-07	5	0	4	0	0	1065	334	0	72	0	0	0	9	0
2014-08	4	0	5	0	4	54	200	0	13	0	0	0	13	0
2014-09	4	0	5	0	3	36	31	0	4	0	0	0	6	0
2014-10	5	0	9	0	2	151	27	0	6	3	0	0	5	0
2014-11	8	1	6	0	2	76	71	0	28	5	57	0	11	2
2014-12	7	0	6	0	0	13	25	0	11	4	0	0	9	0
