date	былина	космос	обломовщина	орфограмма	парцелляция
2010-01	78	50	72	105	72
2010-02	89	48	39	93	60
2010-03	74	77	22	70	74
2010-04	75	241	24	119	104
2010-05	67	86	37	86	361
2010-06	37	24	17	15	56
2010-07	58	22	10	16	38
2010-08	49	30	11	25	15
2010-09	323	64	181	682	70
2010-10	116	79	360	173	108
2010-11	64	92	416	162	111
2010-12	88	64	401	152	163
2011-01	63	109	80	152	127
2011-02	58	148	6	147	160
2011-03	40	251	3	109	155
2011-04	41	722	15	166	173
2011-05	49	109	106	129	529
2011-06	15	31	170	15	72
2011-07	9	31	8	17	72
2011-08	7	33	6	22	42
2011-09	421	73	94	795	86
2011-10	138	87	236	178	110
2011-11	68	81	312	184	139
2011-12	97	53	239	176	173
2012-01	67	57	44	159	123
2012-02	58	48	28	147	111
2012-03	43	69	15	106	151
2012-04	64	249	16	193	125
2012-05	54	81	21	161	173
2012-06	9	17	18	15	23
2012-07	6	20	6	17	21
2012-08	8	22	6	21	10
2012-09	498	63	75	717	53
2012-10	149	72	192	193	80
2012-11	91	60	258	199	65
2012-12	144	43	172	225	84
2013-01	68	41	35	288	69
2013-02	68	42	16	239	80
2013-03	42	61	9	167	76
2013-04	36	204	7	271	91
2013-05	49	44	11	217	231
2013-06	8	15	13	20	46
2013-07	7	14	4	15	33
2013-08	8	17	4	29	16
2013-09	535	52	52	853	65
2013-10	135	51	164	274	74
2013-11	66	45	193	250	83
2013-12	116	26	128	235	88
2014-01	103	34	23	282	72
2014-02	79	25	13	281	84
2014-03	33	42	6	203	80
2014-04	36	181	10	261	89
2014-05	52	39	15	228	194
2014-06	7	14	10	18	58
2014-07	5	13	3	23	27
2014-08	7	11	2	46	14
2014-09	677	42	36	1031	65
2014-10	144	44	117	368	64
2014-11	63	37	151	315	59
2014-12	91	24	88	316	83
