date	аккаунт	брандмауэр	плагин	репост	сиды и пиры	спам	хэштег	cellular	url	wifi
2010-01	744	133	382	0	931	1504	0	0	263	452
2010-02	815	114	353	0	733	1393	0	0	271	402
2010-03	706	117	320	0	590	1064	0	0	254	563
2010-04	682	146	255	0	497	910	0	0	239	521
2010-05	622	158	211	0	456	699	0	0	243	519
2010-06	768	294	229	0	483	573	0	0	301	612
2010-07	1104	246	340	4	865	776	0	0	434	936
2010-08	1067	259	349	0	899	770	0	0	479	1192
2010-09	742	153	252	0	645	562	0	0	336	822
2010-10	622	160	236	0	634	532	0	0	327	810
2010-11	714	148	247	0	669	651	0	0	343	719
2010-12	604	180	231	0	619	564	0	0	315	791
2011-01	827	190	303	2	993	815	0	0	386	961
2011-02	810	197	289	1	826	944	0	0	367	815
2011-03	688	168	240	0	647	738	0	0	353	939
2011-04	588	146	229	2	442	551	0	0	328	758
2011-05	495	140	211	1	407	450	6	0	269	668
2011-06	679	166	253	0	479	455	0	0	328	860
2011-07	919	180	324	5	609	597	9	0	394	1299
2011-08	887	154	312	4	555	579	3	0	392	1203
2011-09	561	129	198	4	300	324	1	0	249	736
2011-10	594	129	222	10	242	343	9	0	252	682
2011-11	659	138	308	12	275	417	0	0	286	640
2011-12	639	136	257	13	254	478	8	0	295	646
2012-01	800	179	308	24	388	675	11	0	412	822
2012-02	945	185	297	52	314	689	10	0	381	731
2012-03	874	181	292	48	283	722	41	0	358	732
2012-04	769	154	236	57	203	515	38	0	286	619
2012-05	693	130	393	104	186	368	49	48	269	605
2012-06	705	154	468	876	221	355	70	176	299	676
2012-07	961	200	486	651	281	417	44	281	319	1018
2012-08	994	235	511	386	225	399	57	394	370	1096
2012-09	641	142	260	195	160	260	33	271	236	741
2012-10	671	136	256	311	137	315	29	205	238	717
2012-11	753	159	268	256	132	384	26	341	256	697
2012-12	683	142	240	233	137	355	23	638	267	789
2013-01	806	176	318	265	175	461	40	529	309	933
2013-02	689	150	350	350	136	432	37	410	296	719
2013-03	649	164	412	497	171	394	32	394	302	702
2013-04	518	156	302	396	111	282	48	299	265	498
2013-05	535	141	292	355	92	242	44	301	269	454
2013-06	549	148	330	424	87	238	80	376	277	526
2013-07	715	155	388	539	120	261	78	435	309	649
2013-08	708	164	344	510	127	259	98	414	300	674
2013-09	474	116	238	332	95	212	65	270	220	486
2013-10	470	116	254	308	93	179	62	213	203	377
2013-11	568	142	258	389	91	227	74	252	251	468
2013-12	605	141	266	418	77	201	90	308	218	482
2014-01	785	151	299	564	112	212	121	246	252	591
2014-02	589	146	270	647	77	180	113	175	239	403
2014-03	544	143	216	495	74	180	121	155	224	403
2014-04	425	135	205	423	56	175	137	105	221	271
2014-05	420	144	181	436	64	178	215	122	281	259
2014-06	552	172	177	544	80	166	228	192	285	332
2014-07	657	217	313	478	108	220	320	224	289	396
2014-08	807	214	347	491	100	217	432	206	278	582
2014-09	547	139	228	309	68	136	229	136	187	269
2014-10	465	165	241	321	80	147	162	127	192	233
2014-11	491	245	283	439	116	178	162	145	223	341
2014-12	487	134	318	398	92	162	219	110	214	324
